plasmid,K,n
SP430,0.7543084484680251,1.0041518605481696
SP411,0.37203198241931995,1.0490075463862985
SP427,0.41796917989357113,3.181101531257678
SP428,0.31969129281945097,2.2104633161749443
SP430A,0.058632700371806006,0.8064857487378624
