plasmid,halftime,se
SP430A,0.9137221341619094,0.17437214502301338
SP430,0.6768889103197899,0.09884060261770229
SP428,0.3861544408073527,0.03749668434769858
SP427,0.6374236336900148,0.036311423686896126
SP411,0.22161052491758187,0.013795794372834451
