design_id,K,n,t_up,t_down,alpha,delay_kd,dynamic_range,t10_90,t50,overshoot
D0000,0.5826647906631397,3.167268561280534,11.385080797084196,0.42136510379762454,0.03390978834094606,4.772479566895769,0.7068421960392601,46.10534108354335,36.509177519185734,0.6683697850124332
D0001,0.4236314297185243,0.8132512893547603,12.329255999051487,1.1273216987773016,0.038405376989572665,4.208059772915663,0.6009262510284143,48.2359996331509,27.62503351956644,0.5798846781573522
D0002,0.08695510210989435,2.015971970813408,11.448546338114031,0.5651090536921785,0.04338161870452,1.247419504769032,0.943211263424396,43.129892002496305,18.58549564622609,0.9240224275010713
D0003,0.5504843744156657,2.1804780368242622,6.038844960488945,0.9242106886864119,0.05330340821757559,3.0379587448242327,0.7586895846722644,40.13664468309821,23.018144287820917,0.7449440151135408
D0004,0.5017894419101585,3.546756812504939,3.9663395125117846,0.7507770032668312,0.0530468484725191,1.2486804388340966,0.8936616868408729,38.40566161196566,18.747340819871,0.8803352144812381
D0005,0.17609630817698968,2.3250338417899883,10.542441812458222,0.7056637248164965,0.04402558860631087,0.9690400252660364,0.9307045709284122,42.998701623996354,19.942106497906202,0.910307189202807
D0006,0.5031069735749777,1.6913665125795712,4.3827790205396795,1.1016200410771328,0.04643293339825976,2.6870775803368776,0.7274268520608281,42.05607049645604,21.509363994784014,0.7129315478171632
D0007,0.4989391014909331,2.1253254052332697,4.865008850048514,0.7562444758923228,0.0483091331280812,3.912624022541394,0.7802526021091791,41.29382493885011,23.128345098440892,0.7651502351607169
D0008,0.3842071050491703,3.3693254247534172,12.664667553665563,1.0200323685238453,0.04024033815592114,1.8880228155999483,0.8705477208338318,44.355920020368224,28.030121292322715,0.8393767775728339
D0009,0.37042321638112796,2.6123781888025013,5.205802807719742,0.7122143834635832,0.04168738744169658,0.7570753781231921,0.8735507999609805,43.75521005216355,20.67366252924123,0.8524566558947905
D0010,0.3001066533942508,1.9100110328167907,12.83260136146451,0.21941133900368193,0.052213739720365734,4.610357842794464,0.8643558337508919,42.29629915014551,25.98774601387805,0.844670396002126
D0011,0.41476667427784986,1.3228818315632567,11.197743867147214,0.32384414346842116,0.039143768269854745,3.5822981200960196,0.6865178005919008,47.271291501290705,28.193764610019198,0.6618871748800825
D0012,0.30416508672212295,2.0784897181668924,6.560202428411089,0.20254942298038267,0.040006514896510637,4.263145158022725,0.8577914089687657,44.88462847536524,24.870945467738082,0.8351050330805838
D0013,0.5607200570023261,1.0297807328015096,8.933600313685972,0.5114903761058733,0.040827615210573535,4.948551507170899,0.5927259738208794,46.534276200846676,27.743165318825913,0.5744274637063556
D0014,0.5474611993441463,2.2056333439039206,8.501339466699903,1.0611317089571104,0.04031557732881509,4.073081771478622,0.7182000895158284,45.5293227471435,29.59516155503932,0.6929820883193455
D0015,0.49698443188124874,2.841610883116246,8.008877378359259,0.8350556539633888,0.05025196901486318,2.006695138605256,0.8366614781609742,41.51264538231324,24.466077924209063,0.8170987981548308
D0016,0.5182734383384189,2.1366812270041744,8.756264393270381,0.6198491097646268,0.04030986304044394,3.947072112103925,0.7298071396998367,45.6135930413204,29.235239498044223,0.7044204782616954
D0017,0.2830236650617193,1.3065056469403884,11.163863256013649,0.5562857888043329,0.04470150063228635,4.9249442046748255,0.7840098995182907,45.02649691623131,26.391216295196454,0.7630220577845256
D0018,0.4450692511503508,2.253715786562794,6.376298613557042,0.858192321801366,0.0528988733426196,3.760278753011136,0.8317877429043046,39.99347596015266,23.031470010457344,0.8172424945056942
D0019,0.5225350267260731,1.6843804028713774,6.656615007254667,0.5152189363761165,0.04254432597533024,4.546383853651589,0.6984812300880956,44.586543562656225,26.68936898124255,0.6794043044581315
D0020,0.3302096893224534,1.293015698175589,8.745112939530781,0.41964050376023254,0.04592190509641193,2.1893662445377897,0.762880862695254,43.98551839612194,22.644091553144957,0.7447421362670947
D0021,0.6376166163211878,2.0121609161105214,9.215705089221014,0.7367686147918692,0.04114732608828903,4.9063139306901435,0.6429461585017399,45.84016354658182,31.602965734542728,0.618712670389389
D0022,0.06198947535778856,2.859061803652976,6.1914854007782765,0.22558022613971582,0.03611032960077103,3.9413473936480563,0.9233762599099726,46.63317061557041,21.83997135353309,0.8996037414482041
D0023,0.6104835311138742,2.9466570721786223,6.385801186715763,0.650806688254925,0.03479730394452655,2.5334796177261896,0.7159243739252279,46.25688963288736,28.807588333026754,0.6877668126963916
D0024,0.19810619479084215,0.8932779952174317,6.446608954904466,1.0722622226012182,0.043660345853900835,1.913877281162896,0.7675615345352121,43.89370877790595,20.06995005093896,0.7511900614970132
D0025,0.1069510744483618,3.2846377176638946,4.549385733087684,0.20359469589723891,0.03466056982798449,3.948666028294889,0.9142860695539251,47.28307216507959,22.50789774581227,0.889028712788968
D0026,0.6265664516892461,1.0701589822556918,9.739591681777735,0.8025350520439434,0.04356626046577103,0.7663853598914794,0.5757076271003619,46.094929757823,23.857303801465044,0.5582307593235996
D0027,0.47338335881176663,1.9934665617224154,12.531256178365757,1.139342586720589,0.04593632243734602,1.2429828277667516,0.7459662233492341,45.190431355156925,27.33172654850027,0.7197630240812503
D0028,0.23583820185829257,2.5445944254547386,11.956881492506044,0.5772817224945774,0.040010071103907974,3.3282083413635286,0.9004271106284281,44.82661721071346,25.343178885841173,0.8744923352861986
D0029,0.576529615954082,1.3446480090081394,9.336095344932215,0.7674175192989383,0.04246580654185073,2.2802505008988705,0.6224315494453343,46.037869391084286,26.24892974661296,0.6024782641727184
D0030,0.6355477995265126,3.05988329495107,5.156661540261233,0.1670053183251199,0.03779952720465834,2.547043086645693,0.727328190361348,45.12955150168807,26.705026576116758,0.7033931077359717
D0031,0.13747080207919365,1.7386253619095575,10.145750134157923,0.8877360446869496,0.0498451787119311,4.21033499070504,0.9348182219400077,40.791291233135595,21.17349516633564,0.9191373032641552
D0032,0.23924992553974633,2.276925384693478,10.690605518056449,0.7637605255735896,0.04471699543796702,4.2021693200912855,0.9085663256312978,43.1963433440755,24.622302946080808,0.8870474419028451
D0033,0.6336188140736925,3.2841423941438794,6.247041359073696,0.28322107713931893,0.03845160386720561,4.154363348283386,0.7396733107966214,44.885150735256246,29.745546064410654,0.7136695878326024
D0034,0.23510080812648923,2.858566517838831,9.307993380968496,1.1354002710303914,0.03480701264331212,4.270746939818926,0.8876372468635144,46.595782258620524,26.421585297052694,0.8588839514716884
D0035,0.06410995796217413,2.571603499303019,8.790910309110636,0.4051277533085801,0.03789893994431654,2.3950518130064853,0.9308858628169737,45.646538792510384,20.10490559565585,0.9083493997368872
D0036,0.341398483652114,1.2414641305118972,7.8657999850648865,0.2525011500098079,0.04298433048348451,3.044091406889428,0.74185199195823,44.82278528710557,23.750042348324126,0.7229536147208796
D0037,0.28028110362347824,2.167352297344948,9.085747555578207,0.6750493935652544,0.03613054799739462,1.684312487444835,0.8497921142828841,46.58893365511955,24.56892263527895,0.8217962627555657
D0038,0.20310530920579328,3.565315265086431,8.445823110858353,0.8564835975631577,0.03661075973012794,2.9608878187902827,0.9152530324362906,45.69161885353121,23.211044199882195,0.8894924703332705
D0039,0.31197826231988046,1.3649554158894217,5.764951565360756,0.4010277653639047,0.04813018953805888,3.912413715107313,0.797441871818824,41.719881800174335,21.868137996988054,0.7827832684070171
D0040,0.5842703350023993,1.735322477646458,8.60929916522607,0.875223358413196,0.044312068790964325,4.407085238223524,0.6650150965287525,44.9136489407248,28.546884924608662,0.644655248868337
D0041,0.048508265645323866,2.728024197942532,4.925874558092074,0.6698470893205755,0.04068868764775421,2.672244429569253,0.9453119939824094,44.36251310655012,18.869517369828987,0.9257300281145439
