plasmid,exp,rep,time,mean_BFP,var_BFP,cv2_BFP,mean_mCherry,var_mCherry,cv2_mCherry,n_cells
SP427,KD,R3,0.0,361.6399230957031,81563.1015625,0.6236500991176926,1523.8026123046875,380262.5625,0.16376690556647588,14061
SP427,KD,R3,3.0,467.9048156738281,168008.1875,0.7673887297752976,1572.89599609375,391965.25,0.15843369543963745,5915
SP427,KD,R3,6.0,733.9055786132812,575790.375,1.0690155512916442,1483.9180908203125,490011.25,0.22252878261580422,2532
SP427,KD,R3,8.0,925.3651733398438,747638.0,0.8731021666584584,1510.0416259765625,409010.84375,0.17937296363464775,2303
SP427,KD,R3,25.0,1545.6893310546875,1606034.125,0.6722183296694746,589.7069091796875,152286.390625,0.4379138301211941,6548
SP427,KD,R3,50.0,1780.674072265625,1734852.5,0.5471339778709242,226.87330627441406,49739.83984375,0.9663569673760667,6625
SP427,KD,R3,100.0,1472.713134765625,1602965.75,0.739073996935155,266.5682373046875,85850.078125,1.2081584460181465,1762
SP427,KD,R3,150.0,1251.240478515625,1073125.375,0.6854391289421832,321.7675476074219,112485.71875,1.086457911320572,2740
SP427,Rev,R1,0.0,1835.095703125,1999468.0,0.5937409750286656,301.2091369628906,115112.078125,1.2687749946038338,9049
SP427,Rev,R1,1.0,976.4688720703125,929704.5625,0.9750528487490466,271.02239990234375,104256.015625,1.419354078702065,6565
SP427,Rev,R1,3.0,581.6792602539062,580344.6875,1.7152161395950822,225.9087371826172,75783.515625,1.4849392705033744,2801
SP427,Rev,R1,6.0,381.9430236816406,231002.53125,1.5835054957154822,227.58021545410156,54685.79296875,1.0558579772872734,1863
SP427,Rev,R1,25.0,412.131103515625,68629.5859375,0.40405510182391635,695.066162109375,265837.4375,0.550254812328106,5275
SP427,Rev,R1,50.0,231.71826171875,30660.873046875,0.5710366635719539,1099.815673828125,386371.09375,0.3194219951497085,3370
SP427,Rev,R1,100.0,235.93170166015625,26907.421875,0.48339203246807455,1276.806640625,302621.71875,0.18563071095869532,5216
SP427,Rev,R1,150.0,278.799072265625,30506.6484375,0.3924748649449882,1043.234619140625,210960.921875,0.19383760436570532,3047
SP427,Rev,R2,0.0,1938.775390625,2029809.375,0.5400080787319502,279.3634948730469,97724.1171875,1.2521675520819429,9307
SP427,Rev,R2,1.0,946.4054565429688,934747.5,1.0436138670236,256.1563415527344,96077.09375,1.4642311223547877,7628
SP427,Rev,R2,3.0,551.0969848632812,465650.40625,1.5332180249603535,232.06546020507812,70140.4765625,1.3024099321447964,2773
SP427,Rev,R2,6.0,393.5987243652344,305020.9375,1.968893780544204,237.26829528808594,62372.6796875,1.1079367878272603,2019
SP427,Rev,R2,25.0,349.3154602050781,42047.95703125,0.34459524872127084,715.0543212890625,268538.65625,0.5252048649394416,4369
SP427,Rev,R2,50.0,228.00538635253906,42288.6015625,0.8134542080559413,1121.626708984375,388008.4375,0.3084213861921906,3763
SP427,Rev,R2,100.0,226.1921844482422,25632.173828125,0.5009913759994616,1236.581787109375,288322.03125,0.1885524315836501,5442
SP427,Rev,R2,150.0,264.26751708984375,24629.015625,0.3526626654250384,959.773681640625,194026.09375,0.210631085883804,3607
SP427,Rev,R3,0.0,1813.97021484375,1935127.875,0.5880975436122954,252.15524291992188,80123.6484375,1.260157160285705,7115
SP427,Rev,R3,1.0,930.1830444335938,798601.9375,0.9229826170317602,262.1024475097656,106617.1640625,1.5519759022631796,7371
SP427,Rev,R3,3.0,579.2692260742188,680548.125,2.028139986988419,230.44857788085938,79673.953125,1.50026611698218,2358
SP427,Rev,R3,6.0,388.4868469238281,260711.59375,1.7274588298859797,260.7205505371094,65841.34375,0.9686082343180169,1988
SP427,Rev,R3,25.0,321.44287109375,52677.41015625,0.5098199406484604,756.9498901367188,276576.96875,0.48270494947617065,3274
SP427,Rev,R3,50.0,216.99172973632812,30340.458984375,0.6443706975399702,1188.20458984375,399248.15625,0.28278766890354606,3553
SP427,Rev,R3,100.0,226.83609008789062,24105.5234375,0.46848130050917897,1186.5120849609375,323644.59375,0.22989208804149389,4789
SP427,Rev,R3,150.0,270.1319580078125,27330.783203125,0.37454167138478883,1034.0052490234375,215728.453125,0.20177248491619354,4043
SP428,KD,R1,0.0,392.2048034667969,128729.0078125,0.8368557515038639,1531.25146484375,411592.5625,0.17553934927768786,13102
SP428,KD,R1,3.0,727.4581909179688,619335.5,1.1703342038481597,1425.5057373046875,345202.25,0.16987742862158658,6731
