plasmid,halftime,se
SP430A,0.9468546804253135,0.19258751689180645
SP430,0.6604883771878175,0.10281384468640405
SP428,0.3759575630513108,0.04462239820899988
SP427,0.6455957825192055,0.038556983325120656
SP411,0.21867895597096507,0.015673142341617652
