plasmid,halftime,se
SP430A,2.9177588746139262,0.4598141559655702
SP430,2.4582242250044293,0.5183720197947487
SP428,5.070708468865883,0.5990545998327464
SP427,8.689864149739718,1.1614339536956986
SP411,7.385081169098775,1.5210192807382636
